quarter,clock,real_time,is_halftime
1,11:29,2019-11-24 16:31:59.103054,False
1,11:25,2019-11-24 16:32:14.217741,False
1,11:25,2019-11-24 16:32:29.363986,False
1,11:25,2019-11-24 16:32:44.497058,False
1,11:25,2019-11-24 16:32:59.630035,False
1,11:12,2019-11-24 16:33:14.759975,False
1,11:12,2019-11-24 16:33:29.890010,False
1,11:12,2019-11-24 16:33:45.015905,False
1,11:12,2019-11-24 16:34:00.220583,False
1,11:12,2019-11-24 16:34:15.366041,False
1,11:12,2019-11-24 16:34:30.514770,False
1,11:12,2019-11-24 16:34:45.677853,False
1,11:12,2019-11-24 16:35:00.887732,False
1,11:12,2019-11-24 16:35:15.995141,False
1,11:12,2019-11-24 16:35:31.119816,False
1,11:12,2019-11-24 16:35:46.245153,False
1,11:12,2019-11-24 16:36:01.372638,False
1,11:12,2019-11-24 16:36:16.506236,False
1,11:12,2019-11-24 16:36:31.680884,False
1,11:12,2019-11-24 16:36:46.785237,False
1,11:08,2019-11-24 16:37:01.923543,False
1,11:08,2019-11-24 16:37:17.073806,False
1,10:38,2019-11-24 16:37:32.223432,False
1,10:38,2019-11-24 16:37:47.517431,False
1,10:38,2019-11-24 16:38:02.736510,False
1,10:04,2019-11-24 16:38:17.915681,False
1,10:04,2019-11-24 16:38:33.037686,False
1,09:26,2019-11-24 16:38:48.220076,False
1,09:26,2019-11-24 16:39:03.478873,False
1,09:26,2019-11-24 16:39:18.827251,False
1,09:23,2019-11-24 16:39:34.016239,False
1,09:23,2019-11-24 16:39:49.194812,False
1,08:41,2019-11-24 16:40:04.343510,False
1,08:41,2019-11-24 16:40:19.498556,False
1,08:41,2019-11-24 16:40:34.631521,False
1,08:41,2019-11-24 16:40:49.770027,False
1,08:26,2019-11-24 16:41:05.011734,False
1,08:26,2019-11-24 16:41:20.330818,False
1,07:39,2019-11-24 16:41:35.478561,False
1,07:39,2019-11-24 16:41:50.647586,False
1,07:39,2019-11-24 16:42:05.872629,False
1,07:39,2019-11-24 16:42:21.032200,False
1,07:39,2019-11-24 16:42:36.251906,False
1,07:39,2019-11-24 16:42:51.409560,False
1,07:39,2019-11-24 16:43:06.533236,False
1,07:39,2019-11-24 16:43:21.683739,False
1,07:39,2019-11-24 16:43:36.938508,False
1,07:39,2019-11-24 16:43:52.128213,False
1,07:39,2019-11-24 16:44:07.260242,False
1,07:39,2019-11-24 16:44:22.411273,False
1,07:39,2019-11-24 16:44:37.547757,False
1,07:39,2019-11-24 16:44:52.679336,False
1,07:39,2019-11-24 16:45:08.001423,False
1,07:02,2019-11-24 16:45:23.204181,False
1,07:02,2019-11-24 16:45:38.503680,False
1,07:02,2019-11-24 16:45:53.709635,False
1,06:24,2019-11-24 16:46:08.905133,False
1,06:24,2019-11-24 16:46:24.049471,False
1,06:24,2019-11-24 16:46:39.242074,False
1,05:44,2019-11-24 16:46:54.386178,False
1,04:59,2019-11-24 16:47:09.666491,False
1,04:59,2019-11-24 16:47:24.933598,False
1,04:59,2019-11-24 16:47:40.119333,False
1,04:59,2019-11-24 16:47:55.288848,False
1,04:59,2019-11-24 16:48:10.947956,False
1,04:59,2019-11-24 16:48:26.113537,False
1,04:59,2019-11-24 16:48:41.274329,False
1,04:59,2019-11-24 16:48:56.406495,False
1,04:59,2019-11-24 16:49:11.584344,False
1,04:59,2019-11-24 16:49:27.381219,False
1,04:59,2019-11-24 16:49:42.539445,False
1,04:59,2019-11-24 16:49:57.697582,False
1,04:59,2019-11-24 16:50:12.828787,False
1,04:59,2019-11-24 16:50:28.092513,False
1,04:59,2019-11-24 16:50:43.232246,False
1,04:19,2019-11-24 16:50:58.411141,False
1,04:19,2019-11-24 16:51:13.659702,False
1,04:19,2019-11-24 16:51:29.011880,False
1,03:39,2019-11-24 16:51:44.210869,False
1,03:39,2019-11-24 16:51:59.384531,False
1,03:39,2019-11-24 16:52:14.596457,False
1,03:01,2019-11-24 16:52:30.504021,False
1,03:01,2019-11-24 16:52:45.680080,False
1,03:01,2019-11-24 16:53:00.936336,False
1,03:01,2019-11-24 16:53:16.091356,False
1,02:55,2019-11-24 16:53:31.248095,False
1,02:55,2019-11-24 16:53:46.401990,False
1,02:25,2019-11-24 16:54:01.553596,False
1,02:25,2019-11-24 16:54:16.774856,False
1,02:25,2019-11-24 16:54:31.908617,False
1,02:25,2019-11-24 16:54:47.099534,False
1,02:25,2019-11-24 16:55:02.286560,False
1,02:25,2019-11-24 16:55:17.474429,False
1,02:25,2019-11-24 16:55:32.670031,False
