quarter,clock,real_time,is_halftime
1,15:00,2019-11-25 20:15:39.696419,False
1,15:00,2019-11-25 20:15:54.765834,False
1,15:00,2019-11-25 20:16:09.833200,False
1,15:00,2019-11-25 20:16:25.002444,False
1,15:00,2019-11-25 20:16:40.092600,False
1,15:00,2019-11-25 20:16:55.251619,False
1,15:00,2019-11-25 20:17:10.317736,False
1,14:23,2019-11-25 20:17:25.369188,False
1,14:23,2019-11-25 20:17:40.435512,False
1,13:50,2019-11-25 20:17:55.487922,False
1,13:50,2019-11-25 20:18:10.640594,False
1,13:50,2019-11-25 20:18:25.698938,False
1,13:50,2019-11-25 20:18:40.883253,False
1,13:35,2019-11-25 20:18:55.933455,False
1,13:35,2019-11-25 20:19:11.003814,False
1,13:35,2019-11-25 20:19:26.207273,False
1,13:35,2019-11-25 20:19:41.341539,False
1,13:35,2019-11-25 20:19:56.395907,False
1,12:58,2019-11-25 20:20:11.443050,False
1,12:58,2019-11-25 20:20:26.613732,False
1,12:58,2019-11-25 20:20:41.679802,False
1,12:15,2019-11-25 20:20:56.853843,False
1,12:15,2019-11-25 20:21:11.915238,False
1,12:15,2019-11-25 20:21:27.021044,False
1,11:34,2019-11-25 20:21:42.102554,False
1,11:34,2019-11-25 20:21:57.185426,False
1,10:54,2019-11-25 20:22:12.383035,False
1,10:54,2019-11-25 20:22:27.452008,False
1,10:54,2019-11-25 20:22:42.501018,False
1,10:12,2019-11-25 20:22:57.662288,False
1,10:12,2019-11-25 20:23:12.755927,False
1,10:12,2019-11-25 20:23:27.902185,False
1,10:12,2019-11-25 20:23:42.963555,False
1,09:29,2019-11-25 20:23:58.209737,False
1,09:29,2019-11-25 20:24:13.315995,False
1,09:29,2019-11-25 20:24:28.504305,False
1,09:29,2019-11-25 20:24:43.567771,False
1,08:40,2019-11-25 20:24:58.649571,False
1,08:40,2019-11-25 20:25:13.713267,False
1,08:40,2019-11-25 20:25:28.775571,False
1,08:36,2019-11-25 20:25:43.867876,False
1,08:36,2019-11-25 20:25:58.944400,False
1,07:47,2019-11-25 20:26:14.119103,False
1,07:47,2019-11-25 20:26:29.206486,False
1,07:47,2019-11-25 20:26:44.276672,False
1,07:47,2019-11-25 20:26:59.353407,False
1,07:47,2019-11-25 20:27:14.426392,False
1,07:47,2019-11-25 20:27:29.494536,False
1,07:47,2019-11-25 20:27:44.549740,False
1,07:47,2019-11-25 20:27:59.644927,False
1,07:47,2019-11-25 20:28:14.740483,False
1,07:47,2019-11-25 20:28:29.802034,False
1,07:47,2019-11-25 20:28:44.871026,False
1,07:47,2019-11-25 20:28:59.983329,False
1,07:47,2019-11-25 20:29:15.061973,False
1,07:47,2019-11-25 20:29:30.126061,False
1,07:47,2019-11-25 20:29:45.211769,False
1,07:47,2019-11-25 20:30:00.317998,False
1,07:47,2019-11-25 20:30:15.390216,False
1,07:47,2019-11-25 20:30:30.462059,False
1,07:23,2019-11-25 20:30:45.505580,False
1,07:23,2019-11-25 20:31:00.590180,False
1,07:23,2019-11-25 20:31:15.685189,False
1,07:23,2019-11-25 20:31:30.758550,False
1,07:23,2019-11-25 20:31:46.004121,False
1,06:40,2019-11-25 20:32:01.153393,False
1,06:17,2019-11-25 20:32:16.245519,False
1,06:17,2019-11-25 20:32:31.320061,False
1,06:17,2019-11-25 20:32:46.370739,False
1,06:17,2019-11-25 20:33:01.471470,False
1,05:20,2019-11-25 20:33:16.667799,False
1,05:20,2019-11-25 20:33:31.755481,False
1,05:20,2019-11-25 20:33:46.821946,False
1,05:20,2019-11-25 20:34:01.914344,False
1,05:20,2019-11-25 20:34:17.028194,False
1,05:20,2019-11-25 20:34:32.091859,False
1,05:20,2019-11-25 20:34:47.159408,False
1,05:20,2019-11-25 20:35:02.228773,False
1,05:20,2019-11-25 20:35:17.326333,False
1,05:20,2019-11-25 20:35:32.406383,False
1,05:20,2019-11-25 20:35:47.469597,False
1,05:20,2019-11-25 20:36:02.598401,False
1,05:20,2019-11-25 20:36:17.814435,False
1,05:20,2019-11-25 20:36:32.894937,False
1,05:20,2019-11-25 20:36:47.972127,False
1,04:42,2019-11-25 20:37:03.071285,False
1,04:42,2019-11-25 20:37:18.196909,False
1,04:04,2019-11-25 20:37:33.291287,False
1,04:04,2019-11-25 20:37:48.390529,False
1,04:04,2019-11-25 20:38:03.448498,False
1,03:23,2019-11-25 20:38:18.612801,False
1,03:23,2019-11-25 20:38:33.664099,False
1,03:23,2019-11-25 20:38:48.751005,False
1,03:23,2019-11-25 20:39:03.819803,False
1,02:39,2019-11-25 20:39:18.886647,False
1,02:39,2019-11-25 20:39:33.941441,False
1,02:39,2019-11-25 20:39:49.023012,False
1,02:39,2019-11-25 20:40:04.099613,False
1,02:39,2019-11-25 20:40:19.206369,False
1,02:39,2019-11-25 20:40:34.253861,False
1,02:04,2019-11-25 20:40:49.404058,False
1,02:04,2019-11-25 20:41:04.523974,False
1,02:04,2019-11-25 20:41:19.603350,False
1,02:04,2019-11-25 20:41:34.712280,False
1,01:52,2019-11-25 20:41:49.778007,False
1,01:52,2019-11-25 20:42:04.842178,False
1,01:52,2019-11-25 20:42:20.241043,False
1,01:52,2019-11-25 20:42:35.305962,False
1,01:52,2019-11-25 20:42:50.404721,False
1,01:31,2019-11-25 20:43:05.483177,False
1,01:31,2019-11-25 20:43:20.577911,False
1,01:31,2019-11-25 20:43:35.674396,False
1,01:31,2019-11-25 20:43:50.783707,False
1,01:31,2019-11-25 20:44:05.836702,False
1,01:31,2019-11-25 20:44:21.086513,False
1,01:31,2019-11-25 20:44:36.337851,False
1,01:31,2019-11-25 20:44:51.401532,False
1,01:31,2019-11-25 20:45:09.522354,False
1,01:31,2019-11-25 20:45:24.590746,False
1,01:31,2019-11-25 20:45:39.698245,False
1,01:31,2019-11-25 20:45:55.045710,False
1,01:31,2019-11-25 20:46:10.144776,False
1,01:31,2019-11-25 20:46:25.287960,False
1,01:03,2019-11-25 20:46:40.350741,False
1,01:03,2019-11-25 20:46:55.444420,False
1,00:00,2019-11-25 20:47:10.553368,False
1,00:00,2019-11-25 20:47:25.641470,False
1,00:00,2019-11-25 20:47:40.754467,False
1,00:00,2019-11-25 20:47:55.909348,False
1,00:00,2019-11-25 20:48:11.001294,False
1,00:00,2019-11-25 20:48:26.184034,False
2,15:00,2019-11-25 20:48:41.247472,False
2,15:00,2019-11-25 20:48:56.301796,False
2,15:00,2019-11-25 20:49:11.394385,False
2,15:00,2019-11-25 20:49:26.466467,False
2,15:00,2019-11-25 20:49:42.602419,False
2,15:00,2019-11-25 20:49:57.678087,False
2,15:00,2019-11-25 20:50:12.752831,False
2,15:00,2019-11-25 20:50:27.876512,False
2,15:00,2019-11-25 20:50:43.090487,False
2,14:28,2019-11-25 20:50:58.162680,False
2,14:28,2019-11-25 20:51:13.268207,False
2,13:51,2019-11-25 20:51:28.468844,False
2,13:51,2019-11-25 20:51:43.568577,False
2,13:51,2019-11-25 20:51:58.631717,False
2,13:51,2019-11-25 20:52:13.774014,False
2,13:45,2019-11-25 20:52:28.834077,False
2,13:45,2019-11-25 20:52:43.933600,False
2,13:45,2019-11-25 20:52:59.161960,False
2,13:45,2019-11-25 20:53:14.225618,False
2,13:45,2019-11-25 20:53:29.326414,False
2,13:45,2019-11-25 20:53:44.747146,False
2,13:45,2019-11-25 20:53:59.844712,False
2,13:08,2019-11-25 20:54:14.933911,False
2,13:08,2019-11-25 20:54:30.012540,False
2,12:32,2019-11-25 20:54:45.107629,False
2,12:32,2019-11-25 20:55:00.320668,False
2,12:27,2019-11-25 20:55:15.495198,False
2,12:27,2019-11-25 20:55:30.613280,False
2,11:57,2019-11-25 20:55:45.727000,False
2,11:57,2019-11-25 20:56:00.796340,False
2,11:57,2019-11-25 20:56:15.885743,False
2,11:57,2019-11-25 20:56:30.977333,False
2,11:52,2019-11-25 20:56:46.086235,False
2,11:52,2019-11-25 20:57:01.199441,False
2,11:52,2019-11-25 20:57:16.270508,False
2,11:47,2019-11-25 20:57:31.487960,False
2,11:47,2019-11-25 20:57:46.563160,False
2,11:47,2019-11-25 20:58:01.706865,False
2,11:47,2019-11-25 20:58:16.838509,False
2,11:47,2019-11-25 20:58:31.966005,False
2,11:47,2019-11-25 20:58:47.035478,False
