quarter,clock,real_time,is_halftime
1,15:00,2019-11-28 20:23:19.657311,False
1,15:00,2019-11-28 20:23:34.731546,False
1,15:00,2019-11-28 20:23:49.853896,False
1,15:00,2019-11-28 20:24:05.192387,False
1,14:56,2019-11-28 20:24:20.272456,False
1,14:24,2019-11-28 20:24:36.410806,False
1,14:17,2019-11-28 20:24:51.533893,False
1,14:17,2019-11-28 20:25:06.609033,False
1,13:42,2019-11-28 20:25:21.768395,False
1,13:42,2019-11-28 20:25:36.852705,False
1,13:42,2019-11-28 20:25:51.956880,False
1,13:42,2019-11-28 20:26:07.055290,False
1,13:08,2019-11-28 20:26:22.111979,False
1,12:52,2019-11-28 20:26:37.196539,False
1,12:51,2019-11-28 20:26:52.285390,False
1,12:51,2019-11-28 20:27:07.410948,False
1,12:23,2019-11-28 20:27:22.483175,False
1,12:23,2019-11-28 20:27:37.583555,False
1,12:23,2019-11-28 20:27:52.700061,False
1,11:53,2019-11-28 20:28:07.803497,False
1,11:53,2019-11-28 20:28:22.946222,False
1,11:07,2019-11-28 20:28:38.038381,False
1,11:07,2019-11-28 20:28:53.149279,False
1,11:07,2019-11-28 20:29:08.236006,False
1,11:07,2019-11-28 20:29:23.350897,False
1,11:07,2019-11-28 20:29:38.448921,False
1,11:07,2019-11-28 20:29:53.573312,False
1,11:07,2019-11-28 20:30:08.740944,False
1,11:07,2019-11-28 20:30:23.892437,False
1,11:07,2019-11-28 20:30:39.235719,False
1,11:07,2019-11-28 20:30:54.345517,False
1,11:07,2019-11-28 20:31:09.461735,False
1,11:07,2019-11-28 20:31:24.573871,False
1,11:07,2019-11-28 20:31:39.681490,False
1,11:07,2019-11-28 20:31:54.778507,False
1,11:07,2019-11-28 20:32:09.890281,False
1,10:57,2019-11-28 20:32:24.986975,False
1,10:57,2019-11-28 20:32:40.068440,False
1,10:57,2019-11-28 20:32:55.131043,False
1,10:51,2019-11-28 20:33:10.417430,False
1,10:51,2019-11-28 20:33:25.541774,False
1,10:16,2019-11-28 20:33:40.681967,False
1,10:16,2019-11-28 20:33:55.814642,False
1,09:41,2019-11-28 20:34:10.943078,False
1,09:41,2019-11-28 20:34:26.039595,False
1,09:09,2019-11-28 20:34:41.215706,False
1,09:09,2019-11-28 20:34:56.375330,False
1,09:09,2019-11-28 20:35:11.473000,False
1,08:33,2019-11-28 20:35:26.592520,False
1,08:33,2019-11-28 20:35:41.707516,False
1,07:54,2019-11-28 20:35:56.825257,False
1,07:54,2019-11-28 20:36:12.104925,False
1,07:45,2019-11-28 20:36:27.267521,False
1,07:45,2019-11-28 20:36:42.384839,False
1,07:45,2019-11-28 20:36:57.726575,False
1,07:45,2019-11-28 20:37:12.884421,False
1,07:45,2019-11-28 20:37:27.994455,False
1,07:45,2019-11-28 20:37:43.129860,False
1,07:45,2019-11-28 20:37:58.434269,False
1,07:45,2019-11-28 20:38:13.523773,False
1,07:45,2019-11-28 20:38:28.723944,False
1,07:45,2019-11-28 20:38:43.907037,False
1,07:45,2019-11-28 20:38:59.017012,False
1,07:45,2019-11-28 20:39:14.147754,False
1,07:45,2019-11-28 20:39:29.260243,False
1,07:45,2019-11-28 20:39:44.456688,False
1,07:45,2019-11-28 20:39:59.576626,False
1,07:45,2019-11-28 20:40:14.727828,False
1,06:58,2019-11-28 20:40:29.843681,False
1,06:58,2019-11-28 20:40:44.936591,False
1,06:18,2019-11-28 20:41:00.045497,False
1,06:18,2019-11-28 20:41:15.432967,False
1,06:18,2019-11-28 20:41:30.551496,False
1,05:38,2019-11-28 20:41:45.644483,False
1,05:38,2019-11-28 20:42:00.734273,False
1,05:38,2019-11-28 20:42:15.958918,False
1,05:38,2019-11-28 20:42:31.088555,False
1,04:57,2019-11-28 20:42:46.445392,False
1,04:57,2019-11-28 20:43:01.518119,False
1,04:57,2019-11-28 20:43:16.700317,False
1,04:57,2019-11-28 20:43:31.863761,False
1,04:57,2019-11-28 20:43:46.971725,False
1,04:48,2019-11-28 20:44:02.049020,False
1,04:48,2019-11-28 20:44:17.197286,False
1,04:48,2019-11-28 20:44:32.286586,False
1,04:48,2019-11-28 20:44:47.725655,False
1,04:48,2019-11-28 20:45:02.807935,False
1,04:48,2019-11-28 20:45:17.865388,False
1,04:48,2019-11-28 20:45:32.966502,False
1,04:48,2019-11-28 20:45:48.066356,False
1,04:48,2019-11-28 20:46:03.141669,False
1,04:42,2019-11-28 20:46:18.215838,False
1,04:42,2019-11-28 20:46:33.305042,False
1,04:42,2019-11-28 20:46:48.367305,False
1,04:12,2019-11-28 20:47:03.461059,False
1,04:12,2019-11-28 20:47:18.532403,False
1,04:12,2019-11-28 20:47:33.613293,False
1,04:12,2019-11-28 20:47:48.719094,False
1,04:12,2019-11-28 20:48:03.796165,False
1,04:12,2019-11-28 20:48:18.917224,False
1,03:11,2019-11-28 20:48:34.017388,False
1,03:11,2019-11-28 20:48:49.145642,False
1,03:11,2019-11-28 20:49:04.218019,False
1,03:11,2019-11-28 20:49:19.308575,False
1,03:11,2019-11-28 20:49:34.403336,False
1,03:11,2019-11-28 20:49:49.465257,False
1,03:11,2019-11-28 20:50:04.547466,False
1,03:11,2019-11-28 20:50:19.640552,False
1,02:56,2019-11-28 20:50:34.731604,False
1,02:56,2019-11-28 20:50:49.837284,False
1,02:51,2019-11-28 20:51:05.007224,False
1,02:14,2019-11-28 20:51:20.135034,False
1,02:14,2019-11-28 20:51:35.209090,False
1,02:14,2019-11-28 20:51:50.298664,False
1,01:33,2019-11-28 20:52:05.346378,False
1,01:33,2019-11-28 20:52:20.663400,False
1,01:33,2019-11-28 20:52:35.751048,False
1,01:33,2019-11-28 20:52:50.843650,False
1,00:47,2019-11-28 20:53:05.952566,False
