ID,CITY,Team,short,hash
1,Arizona,Cardinals,ARI,ResSea
2,Atlanta,Falcons,ATL,InBrotherhood
3,Baltimore,Ravens,BAL,RavensFlock
4,Buffalo,Bills,BUF,GoBills
5,Carolina,Panthers,CAR,KeepPounding
6,Chicago,Bears,CHI,Bears100
7,Cincinnati,Bengals,CIN,SeizeTheDEY
8,Cleveland,Browns,CLE,Browns
9,Dallas,Cowboys,DAL,DallasCowboys
10,Denver,Broncos,DEN,BroncosCountry
11,Detroit,Lions,DET,OnePride
12,GreenBay,Packers,GB,GoPackGo
13,Houston,Texans,HOU,WeAreTexans
14,Indianapolis,Colts,IND,Colts
15,Jacksonville,Jaguars,JAX,DUUUVAL
16,Kansas City,Chiefs,KC,ChiefsKingdom
17,Miami,Dolphins,MIA,FinsUp
18,Minnesota,Vikings,MIN,Skol
19,NewEngland,Patriots,NE,GoPats
20,NewOrleans,Saints,NO,Saints
21,NY,Giants,NYG,GiantsPride
22,NY,Jets,NYJ,TakeFlight
23,Oakland,Raiders,OAK,RaiderNation
24,Philadelphia,Eagles,PHI,FlyEaglesFly
25,Pittsburgh,Steelers,PIT,HereWeGo
26,LosAngeles,Chargers,LAC,BoltUp
27,SanFrancisco,49ers,SF,GoNiners
28,Seattle,Seahawks,SEA,Seahawks
29,LosAngeles,Rams,LAR,LARams
30,TampaBay,Buccaneers,TB,GoBucs
31,Tennessee,Titans,TEN,Titans
32,Washington,Redskins,WAS,HTTR
